Irradiance,Specific_humidity,Soil_Value,Soil_Temperature,External_Temperature,Ion_uptake,Daily_growth_rate,Precipitation,Crop_yield
640,59,37,15,33,257,23,7,18
260,5,65,20,26,586,30,9,19
699,5,36,20,26,184,26,7,97
424,49,88,23,17,120,5,2,22
698,50,32,21,27,453,14,9,39
200,98,8,16,26,139,20,4,6
433,13,97,18,29,663,28,3,90
449,48,35,23,11,487,3,3,74
661,77,19,20,34,488,28,10,94
341,25,59,15,21,465,25,6,55
465,15,72,18,21,538,12,2,58
80,48,79,17,27,674,19,1,74
205,20,61,23,23,418,10,10,52
651,39,60,16,30,579,9,4,44
643,47,29,19,28,378,7,6,48
67,77,3,18,30,512,7,7,82
637,84,48,23,27,354,13,10,8
547,95,86,19,31,182,4,1,18
376,26,58,22,11,382,25,3,23
500,58,98,20,26,322,19,9,44
273,8,32,17,31,463,1,10,68
298,91,70,23,35,697,16,12,47
390,19,45,23,18,464,17,10,11
245,2,39,22,20,326,8,8,32
429,55,94,17,15,286,25,9,20
133,65,13,16,17,114,24,8,62
519,14,75,17,25,222,18,3,73
518,77,71,24,29,232,29,7,86
479,66,37,19,22,192,21,1,20
323,98,65,16,34,233,13,2,92
338,86,64,21,28,173,19,11,74
251,29,54,25,14,299,18,1,42
683,24,40,16,30,436,27,6,55
62,47,7,24,33,375,20,8,11
52,42,85,22,25,217,19,7,24
344,60,41,20,31,238,22,7,27
680,25,80,24,12,166,27,6,58
34,46,29,15,20,160,20,3,28
220,81,98,24,31,427,15,1,34
461,86,8,21,11,222,10,2,92
79,70,48,21,18,697,14,7,34
49,13,21,15,19,249,18,9,61
36,6,95,23,18,623,15,5,26
453,15,99,24,20,349,6,0,55
639,97,73,21,34,606,21,0,25
404,46,56,17,18,121,23,6,42
659,61,2,19,20,443,9,4,24
188,26,90,20,26,491,26,3,31
120,61,7,19,28,693,8,1,6
456,43,65,18,35,285,20,11,88
321,21,91,18,23,511,1,8,59
35,48,59,19,24,533,17,11,93
170,18,98,17,30,647,4,3,14
582,84,30,17,26,147,30,5,31
629,43,94,22,33,132,8,8,87
383,72,50,17,21,653,10,11,100
656,96,40,22,10,656,11,1,15
397,49,60,21,12,117,11,2,60
661,3,29,15,11,513,21,7,76
415,71,62,22,20,602,14,0,8
583,98,54,18,24,359,22,6,87
544,55,30,25,26,387,15,3,22
99,94,1,25,18,325,10,11,63
590,32,30,25,17,215,19,3,26
314,99,30,22,26,667,22,12,37
376,33,43,24,25,232,14,4,30
340,8,42,22,26,512,7,3,16
118,67,98,20,14,347,5,12,87
694,47,40,19,29,663,6,10,11
81,90,49,19,27,552,13,10,12
152,50,39,15,19,191,7,2,73
38,82,59,24,19,125,28,11,42
99,75,96,22,20,680,20,5,62
489,59,91,19,22,446,24,8,30
557,35,95,20,24,133,29,4,99
643,66,5,23,20,211,10,10,81
448,80,28,17,24,653,29,6,55
653,29,89,20,15,301,21,10,57
694,81,50,23,23,394,14,7,13
301,88,8,19,18,507,1,6,83
192,29,18,21,25,295,30,2,34
60,49,46,15,29,599,8,2,38
689,8,17,17,23,434,8,3,17
166,70,45,25,21,568,11,8,83
158,35,39,20,30,356,12,10,47
659,91,62,23,16,165,3,11,8
264,28,48,16,32,270,24,1,58
150,23,8,18,35,581,29,7,71
432,95,14,16,14,415,11,8,53
588,33,92,16,32,144,13,0,89
24,93,86,16,25,568,8,5,95
189,48,10,19,30,206,4,2,48
367,56,26,15,11,342,10,6,35
85,70,13,17,34,349,22,5,65
536,88,52,22,13,247,7,6,34
689,5,86,19,34,245,8,4,25
488,40,91,21,31,637,28,3,20
34,3,98,18,29,631,5,7,88
642,8,27,23,24,122,29,5,67
605,89,79,15,21,158,30,1,98
