Irradiance,Specific_humidity,Soil_Value,Soil_Temperature,External_Temperature,Ion_uptake,Daily_growth_rate,Precipitation,Crop yield
538,24,63,25,23,223,18,9,10
249,28,19,22,24,383,7,8,16
254,7,72,18,13,384,25,1,5
593,98,6,18,22,455,30,4,4
679,90,91,18,11,139,3,7,68
442,4,4,23,18,252,24,7,53
275,11,93,24,22,116,11,8,79
418,43,34,18,34,307,17,7,45
546,58,53,23,27,626,15,7,97
147,43,90,17,22,290,10,11,97
122,16,6,23,27,475,0,5,74
441,9,29,15,26,574,16,11,62
57,54,71,19,13,218,4,6,73
179,78,27,21,19,688,9,3,55
317,2,28,16,13,168,17,12,95
125,18,57,19,13,541,5,1,6
626,46,20,20,19,385,25,3,13
94,13,34,24,13,567,27,7,60
665,16,22,22,13,453,26,11,10
284,23,42,25,33,631,3,1,92
114,89,27,18,32,174,10,3,52
370,35,96,15,16,121,0,10,95
582,5,91,17,13,196,9,3,93
265,15,57,19,14,325,29,6,70
465,72,16,21,19,637,22,9,74
348,97,31,16,32,204,8,2,34
323,8,48,16,14,137,26,2,11
558,7,76,23,11,340,3,9,95
575,90,59,17,12,697,25,6,85
571,6,42,18,13,344,22,0,57
164,48,25,25,30,176,6,1,34
196,28,69,22,12,428,15,0,18
395,34,13,16,22,631,24,6,53
367,78,68,15,14,437,26,10,99
403,73,77,24,16,168,29,9,10
72,75,87,19,22,129,13,1,65
664,33,90,25,23,465,4,8,99
370,12,29,23,20,296,11,5,8
77,71,10,18,11,605,23,7,10
153,50,91,24,28,690,11,11,21
465,52,32,17,17,451,17,12,87
151,42,12,15,31,312,18,1,58
234,57,76,16,31,217,21,11,86
17,12,14,24,30,173,25,3,59
102,24,57,24,33,250,15,9,78
379,41,82,16,31,249,28,11,49
68,56,38,17,29,690,22,1,61
590,87,6,23,26,671,5,3,66
371,6,55,17,18,466,14,4,33
518,73,14,21,17,531,25,6,98
429,49,41,18,23,313,4,6,39
218,46,89,17,23,232,12,4,88
231,35,23,21,19,553,25,5,86
583,88,18,23,32,563,27,6,59
525,9,99,16,13,110,18,2,20
618,22,82,23,16,180,24,2,70
203,59,31,22,21,478,8,9,80
273,83,30,17,35,201,18,4,28
578,61,27,19,33,497,12,6,21
339,77,86,23,16,286,16,7,41
398,8,52,21,22,651,15,12,14
416,4,45,24,25,126,11,8,64
131,33,43,19,29,221,6,9,32
645,25,12,23,34,338,13,11,30
48,4,90,17,18,512,21,10,61
324,20,30,20,27,669,28,4,60
333,10,72,21,20,187,30,1,27
21,48,97,18,25,268,30,10,14
326,67,58,19,22,448,6,10,92
195,21,39,16,32,316,6,10,38
368,91,22,21,15,157,18,6,19
480,29,35,23,16,547,1,5,12
154,50,23,18,12,522,13,3,50
454,45,26,25,31,163,30,5,40
367,61,78,16,17,576,23,1,74
521,7,62,22,24,360,3,8,61
467,69,2,18,26,103,25,4,11
216,24,35,18,32,692,3,7,98
172,34,14,23,13,235,11,2,69
467,7,40,20,29,120,13,2,78
39,10,99,20,30,661,17,9,87
562,64,55,21,25,328,3,4,12
581,80,22,16,33,321,0,7,86
88,3,99,15,32,473,23,5,53
206,81,32,22,30,323,14,2,48
282,1,64,18,21,378,9,8,49
599,58,96,19,22,591,26,9,67
57,37,33,19,22,253,1,10,71
3,84,22,19,23,276,25,1,55
105,52,75,18,15,274,17,7,41
140,95,27,19,10,158,23,10,20
687,9,7,24,20,675,2,8,85
272,67,65,16,31,408,16,2,71
545,97,40,24,16,621,27,11,83
340,0,11,18,15,559,13,6,4
328,33,53,16,34,383,18,3,95
286,38,52,21,35,587,21,10,94
228,5,84,15,26,113,17,3,28
523,90,79,23,14,402,20,5,44
463,66,35,20,16,272,26,9,32
