,IDCrop,Crop_Sequence_Trt_Species_Legume_Harvested,Crop_Sequence_Trt_Cultivar_Name,Crop_Sequence_Trt_Growing_Season_Number,IDSite_Site,IDSite,Site_Name,Site_Country,Site_Latitude,Site_Longitude,Site_Coordinate_Source,Site_Soil_Depth_Variable_m,Site_Soil_Classification_Name,Site_Soil_Texture_Name,Site_Soil_pH,Site_Precipitation_mm,Site_Precipitation_Period,Site_Precipitation_Period_Month,Crop_Sequence_Trt_Species_Order,Crop_Sequence_Trt_Name,Crop_Sequence_Trt_Species_Number,IDRotation_CropSystem,Crop_Sequence_Treatment_Name,Crop_Site_Growing_Season_ID,Crop_Growing_Season_Year_First,Crop_Growing_Season_Year_Last,Crop_Growing_Season_Number,Crop_Species_Scientific_Name,Crop_Species_Common_Name,Crop_Species_Legume,IDRotation,Crop_Date_Harvest,Crop_Date_Seeding,Crop_Following_Number,Crop_Multiple_Following_For_Same_Preceding,Crop_Across_Treatment_Averaged_Value,Crop_Across_Species_Same_Treatment_Value,Crop_Replicate_Number,Crop_Yield_Grain,Crop_Yield_Grain_Unit,identifiant_Paper,Crop_Date_From_Seeding_To_Harvest_Day_Number,Site_Precipitation_Period_Year,Site_City_State_Region,Site_Temperature_Period_Month,Site_Temperature_Celsius,Site_Temperature_Period
0,1090,1,AC Greenfix,1.0,74,74,Akron,United States of America,40.15,-103.15,Article,0.20,Aridic Argiustoll (Weld series),Loam,6.2,420,Annual,Jan.-Dec.,White pea,WL: wide row spacing with lower population,1,362,WL: wide row spacing with lower population,15,2007,2007,1,Lathyrus sativus,White pea,1,362,15 Jul. 2007,15 May 2007,0,0,0,1,4,0.99,t.ha-1,34,61,NA,NA,NA,NA,NA
1,1091,1,AC Greenfix,1.0,74,74,Akron,United States of America,40.15,-103.15,Article,0.20,Aridic Argiustoll (Weld series),Loam,6.2,420,Annual,Jan.-Dec.,White pea,WL: wide row spacing with lower population,1,362,WL: wide row spacing with lower population,16,2008,2008,1,Lathyrus sativus,White pea,1,362,15 Jul. 2008,15 May 2008,0,0,0,1,4,0.74,t.ha-1,34,61,NA,NA,NA,NA,NA
2,1092,1,AC Greenfix,1.0,74,74,Akron,United States of America,40.15,-103.15,Article,0.20,Aridic Argiustoll (Weld series),Loam,6.2,420,Annual,Jan.-Dec.,White pea,WL: wide row spacing with lower population,1,362,WL: wide row spacing with lower population,17,2009,2009,1,Lathyrus sativus,White pea,1,362,15 Jul. 2009,15 May 2009,0,0,0,1,4,1.25,t.ha-1,34,61,NA,NA,NA,NA,NA
3,1087,1,AC Greenfix,1.0,74,74,Akron,United States of America,40.15,-103.15,Article,0.20,Aridic Argiustoll (Weld series),Loam,6.2,420,Annual,Jan.-Dec.,White pea,NH: narrow row spacing with higher population,1,363,NH: narrow row spacing with higher population,15,2007,2007,1,Lathyrus sativus,White pea,1,363,15 Jul. 2007,15 May 2007,0,0,0,1,4,1.72,t.ha-1,34,61,NA,NA,NA,NA,NA
4,1088,1,AC Greenfix,1.0,74,74,Akron,United States of America,40.15,-103.15,Article,0.20,Aridic Argiustoll (Weld series),Loam,6.2,420,Annual,Jan.-Dec.,White pea,NH: narrow row spacing with higher population,1,363,NH: narrow row spacing with higher population,16,2008,2008,1,Lathyrus sativus,White pea,1,363,15 Jul. 2008,15 May 2008,0,0,0,1,4,1.99,t.ha-1,34,61,NA,NA,NA,NA,NA
5,1089,1,AC Greenfix,1.0,74,74,Akron,United States of America,40.15,-103.15,Article,0.20,Aridic Argiustoll (Weld series),Loam,6.2,420,Annual,Jan.-Dec.,White pea,NH: narrow row spacing with higher population,1,363,NH: narrow row spacing with higher population,17,2009,2009,1,Lathyrus sativus,White pea,1,363,15 Jul. 2009,15 May 2009,0,0,0,1,4,2.08,t.ha-1,34,61,NA,NA,NA,NA,NA
6,1096,1,DS Admiral,1.0,74,74,Akron,United States of America,40.15,-103.15,Article,0.20,Aridic Argiustoll (Weld series),Loam,6.2,420,Annual,Jan.-Dec.,Garden pea,WL: wide row spacing with lower population,1,364,WL: wide row spacing with lower population,15,2007,2007,1,Pisum sativum,Garden pea,1,364,15 Jul. 2007,15 May 2007,0,0,0,1,4,1.05,t.ha-1,34,61,NA,NA,NA,NA,NA
7,1097,1,DS Admiral,1.0,74,74,Akron,United States of America,40.15,-103.15,Article,0.20,Aridic Argiustoll (Weld series),Loam,6.2,420,Annual,Jan.-Dec.,Garden pea,WL: wide row spacing with lower population,1,364,WL: wide row spacing with lower population,16,2008,2008,1,Pisum sativum,Garden pea,1,364,15 Jul. 2008,15 May 2008,0,0,0,1,4,0.72,t.ha-1,34,61,NA,NA,NA,NA,NA
8,1098,1,DS Admiral,1.0,74,74,Akron,United States of America,40.15,-103.15,Article,0.20,Aridic Argiustoll (Weld series),Loam,6.2,420,Annual,Jan.-Dec.,Garden pea,WL: wide row spacing with lower population,1,364,WL: wide row spacing with lower population,17,2009,2009,1,Pisum sativum,Garden pea,1,364,15 Jul. 2009,15 May 2009,0,0,0,1,4,1.28,t.ha-1,34,61,NA,NA,NA,NA,NA
9,1093,1,DS Admiral,1.0,74,74,Akron,United States of America,40.15,-103.15,Article,0.20,Aridic Argiustoll (Weld series),Loam,6.2,420,Annual,Jan.-Dec.,Garden pea,NH: narrow row spacing with higher population,1,365,NH: narrow row spacing with higher population,15,2007,2007,1,Pisum sativum,Garden pea,1,365,15 Jul. 2007,15 May 2007,0,0,0,1,4,1.90,t.ha-1,34,61,NA,NA,NA,NA,NA
10,1094,1,DS Admiral,1.0,74,74,Akron,United States of America,40.15,-103.15,Article,0.20,Aridic Argiustoll (Weld series),Loam,6.2,420,Annual,Jan.-Dec.,Garden pea,NH: narrow row spacing with higher population,1,365,NH: narrow row spacing with higher population,16,2008,2008,1,Pisum sativum,Garden pea,1,365,15 Jul. 2008,15 May 2008,0,0,0,1,4,1.07,t.ha-1,34,61,NA,NA,NA,NA,NA
11,1095,1,DS Admiral,1.0,74,74,Akron,United States of America,40.15,-103.15,Article,0.20,Aridic Argiustoll (Weld series),Loam,6.2,420,Annual,Jan.-Dec.,Garden pea,NH: narrow row spacing with higher population,1,365,NH: narrow row spacing with higher population,17,2009,2009,1,Pisum sativum,Garden pea,1,365,15 Jul. 2009,15 May 2009,0,0,0,1,4,2.96,t.ha-1,34,61,NA,NA,NA,NA,NA
12,1180,1,Profi,1.0,79,79,Mandan,United States of America,46.83,-100.89,http://mynasadata.larc.nasa.gov/latitudelongitude-finder/,NA,Pachic Haplustoll (Temvik-Wilton series),Silty loam,NA,480,Annual,Jan.-Dec.,Garden pea,Early-planted crops,1,420,Early-planted crops,28,1995,1997,3,Pisum sativum,Garden pea,1,420,NA NA 1995-NA NA 1996-NA NA 1997,06 May 1995-06 May 1996-06 May 1997,0,0,0,0,9,2.64,t.ha-1,40,NA,from 1995 to 1997,NA,May-Sep.,18.0,Growing season
13,1181,0,Reward,1.0,79,79,Mandan,United States of America,46.83,-100.89,http://mynasadata.larc.nasa.gov/latitudelongitude-finder/,NA,Pachic Haplustoll (Temvik-Wilton series),Silty loam,NA,480,Annual,Jan.-Dec.,Field mustard,Early-planted crops,1,421,Early-planted crops,28,1995,1997,3,Brassica rapa,Field mustard,0,421,NA NA 1995-NA NA 1996-NA NA 1997,06 May 1995-06 May 1996-06 May 1997,0,0,0,0,9,1.03,t.ha-1,40,NA,from 1995 to 1997,NA,May-Sep.,18.0,Growing season
14,1182,0,Meyer,1.0,79,79,Mandan,United States of America,46.83,-100.89,http://mynasadata.larc.nasa.gov/latitudelongitude-finder/,NA,Pachic Haplustoll (Temvik-Wilton series),Silty loam,NA,480,Annual,Jan.-Dec.,Crambe,Early-planted crops,1,422,Early-planted crops,28,1995,1997,3,Crambe abyssinica,Crambe,0,422,NA NA 1995-NA NA 1996-NA NA 1997,06 May 1995-06 May 1996-06 May 1997,0,0,0,0,9,1.63,t.ha-1,40,NA,from 1995 to 1997,NA,May-Sep.,18.0,Growing season
15,1183,0,Montola 2000,1.0,79,79,Mandan,United States of America,46.83,-100.89,http://mynasadata.larc.nasa.gov/latitudelongitude-finder/,NA,Pachic Haplustoll (Temvik-Wilton series),Silty loam,NA,480,Annual,Jan.-Dec.,Safflower,Early-planted crops,1,423,Early-planted crops,28,1995,1997,3,Carthamus tinctorius,Safflower,0,423,NA NA 1995-NA NA 1996-NA NA 1997,06 May 1995-06 May 1996-06 May 1997,0,0,0,0,9,1.32,t.ha-1,40,NA,from 1995 to 1997,NA,May-Sep.,18.0,Growing season
16,1184,0,Pioneer 6339 or Cenex 803,1.0,79,79,Mandan,United States of America,46.83,-100.89,http://mynasadata.larc.nasa.gov/latitudelongitude-finder/,NA,Pachic Haplustoll (Temvik-Wilton series),Silty loam,NA,480,Annual,Jan.-Dec.,Common sunflower,Late-planted crops,1,424,Late-planted crops,28,1995,1997,3,Helianthus annuus,Common sunflower,0,424,NA NA 1995-NA NA 1996-NA NA 1997,27 May 1995-27 May 1996-27 May 1997,0,0,0,1,9,2.00,t.ha-1,40,NA,from 1995 to 1997,NA,May-Sep.,18.0,Growing season
