IDCrop,Crop_Sequence_Trt_Species_Legume_Harvested,Crop_Sequence_Trt_Cultivar_Name,Crop_Sequence_Trt_Growing_Season_Number,IDSite_Site,IDSite,Site_Name,Site_Country,Site_Latitude,Site_Longitude,Site_Coordinate_Source,Site_Soil_Depth_Variable_m,Site_Soil_Classification_Name,Site_Soil_Texture_Name,Site_Soil_pH,Site_Precipitation_mm,Site_Precipitation_Period,Site_Precipitation_Period_Month,Crop_Sequence_Trt_Species_Order,Crop_Sequence_Trt_Name,Crop_Sequence_Trt_Species_Number,IDRotation_CropSystem,Crop_Sequence_Treatment_Name,Crop_Site_Growing_Season_ID,Crop_Growing_Season_Year_First,Crop_Growing_Season_Year_Last,Crop_Growing_Season_Number,Crop_Species_Scientific_Name,Crop_Species_Common_Name,Crop_Species_Legume,IDRotation,Crop_Date_Harvest,Crop_Date_Seeding,Crop_Following_Number,Crop_Multiple_Following_For_Same_Preceding,Crop_Across_Treatment_Averaged_Value,Crop_Across_Species_Same_Treatment_Value,Crop_Replicate_Number,Crop_Yield_Grain,Crop_Yield_Grain_Unit,identifiant_Paper,Crop_Date_From_Seeding_To_Harvest_Day_Number,Site_Precipitation_Period_Year,Site_City_State_Region,Site_Temperature_Period_Month,Site_Temperature_Celsius,Site_Temperature_Period,Averege_Humidity,Averege_Solar
1189,1,706,1.0,80,80,Moccasin,United States of America,47.03,-109.57,Article,,Typic Calciboroll (Judith series),Loam,,357.0,Annual,Jan.-Dec.,Garden pea,706 Early,1,427,706 Early,29,2001,2002,1,Pisum sativum,Garden pea,1,427,NA NA 2002,18 Sep. 2001,0,0,1,1,8.0,1.81,t.ha-1,42,,from 2001 to 2004,Montana,Jan.-Dec.,6.9,Annual,80.95502278227791,4305.984787530769
1195,1,706,1.0,80,80,Moccasin,United States of America,47.03,-109.57,Article,,Typic Calciboroll (Judith series),Loam,,357.0,Annual,Jan.-Dec.,Garden pea,706 Early,1,427,706 Early,30,2002,2003,1,Pisum sativum,Garden pea,1,427,NA NA 2003,16 Sep. 2002,0,0,1,1,8.0,0.85,t.ha-1,42,,from 2001 to 2004,Montana,Jan.-Dec.,6.9,Annual,80.95502278227791,4305.984787530769
1201,1,706,1.0,80,80,Moccasin,United States of America,47.03,-109.57,Article,,Typic Calciboroll (Judith series),Loam,,357.0,Annual,Jan.-Dec.,Garden pea,706 Early,1,427,706 Early,31,2003,2004,1,Pisum sativum,Garden pea,1,427,NA NA 2004,12 Sep. 2003,0,0,1,1,8.0,1.36,t.ha-1,42,,from 2001 to 2004,Montana,Jan.-Dec.,6.9,Annual,80.95502278227791,4305.984787530769
1190,1,726,1.0,80,80,Moccasin,United States of America,47.03,-109.57,Article,,Typic Calciboroll (Judith series),Loam,,357.0,Annual,Jan.-Dec.,Garden pea,726 Early,1,428,726 Early,29,2001,2002,1,Pisum sativum,Garden pea,1,428,NA NA 2002,18 Sep. 2001,0,0,1,1,8.0,2.02,t.ha-1,42,,from 2001 to 2004,Montana,Jan.-Dec.,6.9,Annual,80.95502278227791,4305.984787530769
1196,1,726,1.0,80,80,Moccasin,United States of America,47.03,-109.57,Article,,Typic Calciboroll (Judith series),Loam,,357.0,Annual,Jan.-Dec.,Garden pea,726 Early,1,428,726 Early,30,2002,2003,1,Pisum sativum,Garden pea,1,428,NA NA 2003,16 Sep. 2002,0,0,1,1,8.0,0.99,t.ha-1,42,,from 2001 to 2004,Montana,Jan.-Dec.,6.9,Annual,80.95502278227791,4305.984787530769
1202,1,726,1.0,80,80,Moccasin,United States of America,47.03,-109.57,Article,,Typic Calciboroll (Judith series),Loam,,357.0,Annual,Jan.-Dec.,Garden pea,726 Early,1,428,726 Early,31,2003,2004,1,Pisum sativum,Garden pea,1,428,NA NA 2004,12 Sep. 2003,0,0,1,1,8.0,1.61,t.ha-1,42,,from 2001 to 2004,Montana,Jan.-Dec.,6.9,Annual,80.95502278227791,4305.984787530769
1191,1,706,1.0,80,80,Moccasin,United States of America,47.03,-109.57,Article,,Typic Calciboroll (Judith series),Loam,,357.0,Annual,Jan.-Dec.,Garden pea,706 Late,1,429,706 Late,29,2001,2002,1,Pisum sativum,Garden pea,1,429,NA NA 2002,02 Oct. 2001,0,0,1,1,8.0,1.66,t.ha-1,42,,from 2001 to 2004,Montana,Jan.-Dec.,6.9,Annual,80.95502278227791,4305.984787530769
1197,1,706,1.0,80,80,Moccasin,United States of America,47.03,-109.57,Article,,Typic Calciboroll (Judith series),Loam,,357.0,Annual,Jan.-Dec.,Garden pea,706 Late,1,429,706 Late,30,2002,2003,1,Pisum sativum,Garden pea,1,429,NA NA 2003,30 Sep. 2002,0,0,1,1,8.0,0.76,t.ha-1,42,,from 2001 to 2004,Montana,Jan.-Dec.,6.9,Annual,80.95502278227791,4305.984787530769
1203,1,706,1.0,80,80,Moccasin,United States of America,47.03,-109.57,Article,,Typic Calciboroll (Judith series),Loam,,357.0,Annual,Jan.-Dec.,Garden pea,706 Late,1,429,706 Late,31,2003,2004,1,Pisum sativum,Garden pea,1,429,NA NA 2004,30 Sep. 2003,0,0,1,1,8.0,1.21,t.ha-1,42,,from 2001 to 2004,Montana,Jan.-Dec.,6.9,Annual,80.95502278227791,4305.984787530769
1192,1,726,1.0,80,80,Moccasin,United States of America,47.03,-109.57,Article,,Typic Calciboroll (Judith series),Loam,,357.0,Annual,Jan.-Dec.,Garden pea,726 Late,1,430,726 Late,29,2001,2002,1,Pisum sativum,Garden pea,1,430,NA NA 2002,02 Oct. 2001,0,0,1,1,8.0,1.85,t.ha-1,42,,from 2001 to 2004,Montana,Jan.-Dec.,6.9,Annual,80.95502278227791,4305.984787530769
1198,1,726,1.0,80,80,Moccasin,United States of America,47.03,-109.57,Article,,Typic Calciboroll (Judith series),Loam,,357.0,Annual,Jan.-Dec.,Garden pea,726 Late,1,430,726 Late,30,2002,2003,1,Pisum sativum,Garden pea,1,430,NA NA 2003,30 Sep. 2002,0,0,1,1,8.0,0.92,t.ha-1,42,,from 2001 to 2004,Montana,Jan.-Dec.,6.9,Annual,80.95502278227791,4305.984787530769
1204,1,726,1.0,80,80,Moccasin,United States of America,47.03,-109.57,Article,,Typic Calciboroll (Judith series),Loam,,357.0,Annual,Jan.-Dec.,Garden pea,726 Late,1,430,726 Late,31,2003,2004,1,Pisum sativum,Garden pea,1,430,NA NA 2004,30 Sep. 2003,0,0,1,1,8.0,1.35,t.ha-1,42,,from 2001 to 2004,Montana,Jan.-Dec.,6.9,Annual,80.95502278227791,4305.984787530769
1193,1,Mozart,1.0,80,80,Moccasin,United States of America,47.03,-109.57,Article,,Typic Calciboroll (Judith series),Loam,,357.0,Annual,Jan.-Dec.,Garden pea,Mozart Spring,1,431,Mozart Spring,29,2002,2002,1,Pisum sativum,Garden pea,1,431,NA NA 2002,17 Apr. 2002,0,0,1,1,8.0,2.03,t.ha-1,42,,from 2001 to 2004,Montana,Jan.-Dec.,6.9,Annual,80.95502278227791,4305.984787530769
1199,1,Mozart,1.0,80,80,Moccasin,United States of America,47.03,-109.57,Article,,Typic Calciboroll (Judith series),Loam,,357.0,Annual,Jan.-Dec.,Garden pea,Mozart Spring,1,431,Mozart Spring,30,2003,2003,1,Pisum sativum,Garden pea,1,431,NA NA 2003,11 Apr. 2003,0,0,1,1,8.0,1.13,t.ha-1,42,,from 2001 to 2004,Montana,Jan.-Dec.,6.9,Annual,80.95502278227791,4305.984787530769
1205,1,Mozart,1.0,80,80,Moccasin,United States of America,47.03,-109.57,Article,,Typic Calciboroll (Judith series),Loam,,357.0,Annual,Jan.-Dec.,Garden pea,Mozart Spring,1,431,Mozart Spring,31,2004,2004,1,Pisum sativum,Garden pea,1,431,NA NA 2004,08 Apr. 2004,0,0,1,1,8.0,1.56,t.ha-1,42,,from 2001 to 2004,Montana,Jan.-Dec.,6.9,Annual,80.95502278227791,4305.984787530769
1194,1,Delta,1.0,80,80,Moccasin,United States of America,47.03,-109.57,Article,,Typic Calciboroll (Judith series),Loam,,357.0,Annual,Jan.-Dec.,Garden pea,Delta Spring,1,432,Delta Spring,29,2002,2002,1,Pisum sativum,Garden pea,1,432,NA NA 2002,17 Apr. 2002,0,0,1,1,8.0,1.88,t.ha-1,42,,from 2001 to 2004,Montana,Jan.-Dec.,6.9,Annual,80.95502278227791,4305.984787530769
1200,1,Delta,1.0,80,80,Moccasin,United States of America,47.03,-109.57,Article,,Typic Calciboroll (Judith series),Loam,,357.0,Annual,Jan.-Dec.,Garden pea,Delta Spring,1,432,Delta Spring,30,2003,2003,1,Pisum sativum,Garden pea,1,432,NA NA 2003,11 Apr. 2003,0,0,1,1,8.0,1.21,t.ha-1,42,,from 2001 to 2004,Montana,Jan.-Dec.,6.9,Annual,80.95502278227791,4305.984787530769
1206,1,Delta,1.0,80,80,Moccasin,United States of America,47.03,-109.57,Article,,Typic Calciboroll (Judith series),Loam,,357.0,Annual,Jan.-Dec.,Garden pea,Delta Spring,1,432,Delta Spring,31,2004,2004,1,Pisum sativum,Garden pea,1,432,NA NA 2004,08 Apr. 2004,0,0,1,1,8.0,1.7,t.ha-1,42,,from 2001 to 2004,Montana,Jan.-Dec.,6.9,Annual,80.95502278227791,4305.984787530769
1207,1,Monton,1.0,80,80,Moccasin,United States of America,47.03,-109.57,Article,,Typic Calciboroll (Judith series),Loam,,357.0,Annual,Jan.-Dec.,Lentil,Monton Early,1,433,Morton Early,29,2001,2002,1,Lens culinaris,Lentil,1,433,NA NA 2002,18 Sep. 2001,0,0,1,1,8.0,1.41,t.ha-1,42,,from 2001 to 2004,Montana,Jan.-Dec.,6.9,Annual,80.95502278227791,4305.984787530769
1214,1,Monton,1.0,80,80,Moccasin,United States of America,47.03,-109.57,Article,,Typic Calciboroll (Judith series),Loam,,357.0,Annual,Jan.-Dec.,Lentil,Monton Early,1,433,Morton Early,30,2002,2003,1,Lens culinaris,Lentil,1,433,NA NA 2003,16 Sep. 2002,0,0,1,1,8.0,1.15,t.ha-1,42,,from 2001 to 2004,Montana,Jan.-Dec.,6.9,Annual,80.95502278227791,4305.984787530769
1220,1,Monton,1.0,80,80,Moccasin,United States of America,47.03,-109.57,Article,,Typic Calciboroll (Judith series),Loam,,357.0,Annual,Jan.-Dec.,Lentil,Monton Early,1,433,Morton Early,31,2003,2004,1,Lens culinaris,Lentil,1,433,NA NA 2004,12 Sep. 2003,0,0,1,1,8.0,1.53,t.ha-1,42,,from 2001 to 2004,Montana,Jan.-Dec.,6.9,Annual,80.95502278227791,4305.984787530769
1208,1,079,1.0,80,80,Moccasin,United States of America,47.03,-109.57,Article,,Typic Calciboroll (Judith series),Loam,,357.0,Annual,Jan.-Dec.,Lentil,079 Early,1,434,079 Early,29,2001,2002,1,Lens culinaris,Lentil,1,434,NA NA 2002,18 Sep. 2001,0,0,1,1,8.0,1.42,t.ha-1,42,,from 2001 to 2004,Montana,Jan.-Dec.,6.9,Annual,80.95502278227791,4305.984787530769
1215,1,079,1.0,80,80,Moccasin,United States of America,47.03,-109.57,Article,,Typic Calciboroll (Judith series),Loam,,357.0,Annual,Jan.-Dec.,Lentil,079 Early,1,434,079 Early,30,2002,2003,1,Lens culinaris,Lentil,1,434,NA NA 2003,16 Sep. 2002,0,0,1,1,8.0,1.19,t.ha-1,42,,from 2001 to 2004,Montana,Jan.-Dec.,6.9,Annual,80.95502278227791,4305.984787530769
1221,1,079,1.0,80,80,Moccasin,United States of America,47.03,-109.57,Article,,Typic Calciboroll (Judith series),Loam,,357.0,Annual,Jan.-Dec.,Lentil,079 Early,1,434,079 Early,31,2003,2004,1,Lens culinaris,Lentil,1,434,NA NA 2004,12 Sep. 2003,0,0,1,1,8.0,1.29,t.ha-1,42,,from 2001 to 2004,Montana,Jan.-Dec.,6.9,Annual,80.95502278227791,4305.984787530769
1209,1,Monton,1.0,80,80,Moccasin,United States of America,47.03,-109.57,Article,,Typic Calciboroll (Judith series),Loam,,357.0,Annual,Jan.-Dec.,Lentil,Monton Late,1,435,Morton Late,29,2001,2002,1,Lens culinaris,Lentil,1,435,NA NA 2002,02 Oct. 2001,0,0,1,1,8.0,1.38,t.ha-1,42,,from 2001 to 2004,Montana,Jan.-Dec.,6.9,Annual,80.95502278227791,4305.984787530769
1216,1,Monton,1.0,80,80,Moccasin,United States of America,47.03,-109.57,Article,,Typic Calciboroll (Judith series),Loam,,357.0,Annual,Jan.-Dec.,Lentil,Monton Late,1,435,Morton Late,30,2002,2003,1,Lens culinaris,Lentil,1,435,NA NA 2003,30 Sep. 2002,0,0,1,1,8.0,1.04,t.ha-1,42,,from 2001 to 2004,Montana,Jan.-Dec.,6.9,Annual,80.95502278227791,4305.984787530769
1222,1,Monton,1.0,80,80,Moccasin,United States of America,47.03,-109.57,Article,,Typic Calciboroll (Judith series),Loam,,357.0,Annual,Jan.-Dec.,Lentil,Monton Late,1,435,Morton Late,31,2003,2004,1,Lens culinaris,Lentil,1,435,NA NA 2004,30 Sep. 2003,0,0,1,1,8.0,1.23,t.ha-1,42,,from 2001 to 2004,Montana,Jan.-Dec.,6.9,Annual,80.95502278227791,4305.984787530769
