Crop_Sequence_Trt_Name;Crop_Date_From_Seeding_To_Harvest_Day_Number;Averege_Solar;Averege_Humidity;Site_Temperature_Celsius;Crop_Yield_Grain;Crop_Species_Common_Name;Crop_Growing_Season_Year_First;Crop_Growing_Season_Year_Last;Site_Precipitation_mm;Site_Soil_Texture_Name;Site_Soil_pH;Site_Soil_Classification_Name;Site_Soil_Depth_Variable_m;Site_Longitude;Site_Latitude
WL: wide row spacing with lower population;61.0;5025.413974096559;83.78451148603602;10.447205471497488;0.99;White pea;2007;2007;420.0;Loam;6.2;Aridic Argiustoll (Weld series);0.2;-103.15;40.15
WL: wide row spacing with lower population;61.0;5025.413974096559;83.78451148603602;10.447205471497488;0.74;White pea;2008;2008;420.0;Loam;6.2;Aridic Argiustoll (Weld series);0.2;-103.15;40.15
WL: wide row spacing with lower population;61.0;5025.413974096559;83.78451148603602;10.447205471497488;1.25;White pea;2009;2009;420.0;Loam;6.2;Aridic Argiustoll (Weld series);0.2;-103.15;40.15
NH: narrow row spacing with higher population;61.0;5025.413974096559;83.78451148603602;10.447205471497488;1.72;White pea;2007;2007;420.0;Loam;6.2;Aridic Argiustoll (Weld series);0.2;-103.15;40.15
NH: narrow row spacing with higher population;61.0;5025.413974096559;83.78451148603602;10.447205471497488;1.99;White pea;2008;2008;420.0;Loam;6.2;Aridic Argiustoll (Weld series);0.2;-103.15;40.15
NH: narrow row spacing with higher population;61.0;5025.413974096559;83.78451148603602;10.447205471497488;2.08;White pea;2009;2009;420.0;Loam;6.2;Aridic Argiustoll (Weld series);0.2;-103.15;40.15
WL: wide row spacing with lower population;61.0;5025.413974096559;83.78451148603602;10.447205471497488;1.05;Garden pea;2007;2007;420.0;Loam;6.2;Aridic Argiustoll (Weld series);0.2;-103.15;40.15
WL: wide row spacing with lower population;61.0;5025.413974096559;83.78451148603602;10.447205471497488;0.72;Garden pea;2008;2008;420.0;Loam;6.2;Aridic Argiustoll (Weld series);0.2;-103.15;40.15
WL: wide row spacing with lower population;61.0;5025.413974096559;83.78451148603602;10.447205471497488;1.28;Garden pea;2009;2009;420.0;Loam;6.2;Aridic Argiustoll (Weld series);0.2;-103.15;40.15
NH: narrow row spacing with higher population;61.0;5025.413974096559;83.78451148603602;10.447205471497488;1.9;Garden pea;2007;2007;420.0;Loam;6.2;Aridic Argiustoll (Weld series);0.2;-103.15;40.15
NH: narrow row spacing with higher population;61.0;5025.413974096559;83.78451148603602;10.447205471497488;1.07;Garden pea;2008;2008;420.0;Loam;6.2;Aridic Argiustoll (Weld series);0.2;-103.15;40.15
NH: narrow row spacing with higher population;61.0;5025.413974096559;83.78451148603602;10.447205471497488;2.96;Garden pea;2009;2009;420.0;Loam;6.2;Aridic Argiustoll (Weld series);0.2;-103.15;40.15
Early-planted crops;;6599.229078105849;89.03945519773525;18.0;2.64;Garden pea;1995;1997;480.0;Silty loam;;Pachic Haplustoll (Temvik-Wilton series);;-100.89;46.83
Early-planted crops;;6599.229078105849;89.03945519773525;18.0;1.03;Field mustard;1995;1997;480.0;Silty loam;;Pachic Haplustoll (Temvik-Wilton series);;-100.89;46.83
Early-planted crops;;6599.229078105849;89.03945519773525;18.0;1.63;Crambe;1995;1997;480.0;Silty loam;;Pachic Haplustoll (Temvik-Wilton series);;-100.89;46.83
Early-planted crops;;6599.229078105849;89.03945519773525;18.0;1.32;Safflower;1995;1997;480.0;Silty loam;;Pachic Haplustoll (Temvik-Wilton series);;-100.89;46.83
Late-planted crops;;6599.229078105849;89.03945519773525;18.0;2.0;Common sunflower;1995;1997;480.0;Silty loam;;Pachic Haplustoll (Temvik-Wilton series);;-100.89;46.83
Late-planted crops;;6599.229078105849;89.03945519773525;18.0;1.02;Soybean;1995;1997;480.0;Silty loam;;Pachic Haplustoll (Temvik-Wilton series);;-100.89;46.83
Late-planted crops;;6599.229078105849;89.03945519773525;18.0;1.44;Kidney bean;1995;1997;480.0;Silty loam;;Pachic Haplustoll (Temvik-Wilton series);;-100.89;46.83
706 Early;;4305.984787530769;80.9550227822779;6.9;1.81;Garden pea;2001;2002;357.0;Loam;;Typic Calciboroll (Judith series);;-109.57;47.03
706 Early;;4305.984787530769;80.9550227822779;6.9;0.85;Garden pea;2002;2003;357.0;Loam;;Typic Calciboroll (Judith series);;-109.57;47.03
706 Early;;4305.984787530769;80.9550227822779;6.9;1.36;Garden pea;2003;2004;357.0;Loam;;Typic Calciboroll (Judith series);;-109.57;47.03
726 Early;;4305.984787530769;80.9550227822779;6.9;2.02;Garden pea;2001;2002;357.0;Loam;;Typic Calciboroll (Judith series);;-109.57;47.03
726 Early;;4305.984787530769;80.9550227822779;6.9;0.99;Garden pea;2002;2003;357.0;Loam;;Typic Calciboroll (Judith series);;-109.57;47.03
726 Early;;4305.984787530769;80.9550227822779;6.9;1.61;Garden pea;2003;2004;357.0;Loam;;Typic Calciboroll (Judith series);;-109.57;47.03
706 Late;;4305.984787530769;80.9550227822779;6.9;1.66;Garden pea;2001;2002;357.0;Loam;;Typic Calciboroll (Judith series);;-109.57;47.03
706 Late;;4305.984787530769;80.9550227822779;6.9;0.76;Garden pea;2002;2003;357.0;Loam;;Typic Calciboroll (Judith series);;-109.57;47.03
706 Late;;4305.984787530769;80.9550227822779;6.9;1.21;Garden pea;2003;2004;357.0;Loam;;Typic Calciboroll (Judith series);;-109.57;47.03
726 Late;;4305.984787530769;80.9550227822779;6.9;1.85;Garden pea;2001;2002;357.0;Loam;;Typic Calciboroll (Judith series);;-109.57;47.03
726 Late;;4305.984787530769;80.9550227822779;6.9;0.92;Garden pea;2002;2003;357.0;Loam;;Typic Calciboroll (Judith series);;-109.57;47.03
726 Late;;4305.984787530769;80.9550227822779;6.9;1.35;Garden pea;2003;2004;357.0;Loam;;Typic Calciboroll (Judith series);;-109.57;47.03
Mozart Spring;;4305.984787530769;80.9550227822779;6.9;2.03;Garden pea;2002;2002;357.0;Loam;;Typic Calciboroll (Judith series);;-109.57;47.03
Mozart Spring;;4305.984787530769;80.9550227822779;6.9;1.13;Garden pea;2003;2003;357.0;Loam;;Typic Calciboroll (Judith series);;-109.57;47.03
Mozart Spring;;4305.984787530769;80.9550227822779;6.9;1.56;Garden pea;2004;2004;357.0;Loam;;Typic Calciboroll (Judith series);;-109.57;47.03
Delta Spring;;4305.984787530769;80.9550227822779;6.9;1.88;Garden pea;2002;2002;357.0;Loam;;Typic Calciboroll (Judith series);;-109.57;47.03
Delta Spring;;4305.984787530769;80.9550227822779;6.9;1.21;Garden pea;2003;2003;357.0;Loam;;Typic Calciboroll (Judith series);;-109.57;47.03
Delta Spring;;4305.984787530769;80.9550227822779;6.9;1.7;Garden pea;2004;2004;357.0;Loam;;Typic Calciboroll (Judith series);;-109.57;47.03
Monton Early;;4305.984787530769;80.9550227822779;6.9;1.41;Lentil;2001;2002;357.0;Loam;;Typic Calciboroll (Judith series);;-109.57;47.03
Monton Early;;4305.984787530769;80.9550227822779;6.9;1.15;Lentil;2002;2003;357.0;Loam;;Typic Calciboroll (Judith series);;-109.57;47.03
Monton Early;;4305.984787530769;80.9550227822779;6.9;1.53;Lentil;2003;2004;357.0;Loam;;Typic Calciboroll (Judith series);;-109.57;47.03
079 Early;;4305.984787530769;80.9550227822779;6.9;1.42;Lentil;2001;2002;357.0;Loam;;Typic Calciboroll (Judith series);;-109.57;47.03
079 Early;;4305.984787530769;80.9550227822779;6.9;1.19;Lentil;2002;2003;357.0;Loam;;Typic Calciboroll (Judith series);;-109.57;47.03
079 Early;;4305.984787530769;80.9550227822779;6.9;1.29;Lentil;2003;2004;357.0;Loam;;Typic Calciboroll (Judith series);;-109.57;47.03
Monton Late;;4305.984787530769;80.9550227822779;6.9;1.38;Lentil;2001;2002;357.0;Loam;;Typic Calciboroll (Judith series);;-109.57;47.03
Monton Late;;4305.984787530769;80.9550227822779;6.9;1.04;Lentil;2002;2003;357.0;Loam;;Typic Calciboroll (Judith series);;-109.57;47.03
Monton Late;;4305.984787530769;80.9550227822779;6.9;1.23;Lentil;2003;2004;357.0;Loam;;Typic Calciboroll (Judith series);;-109.57;47.03
079 Late;;4305.984787530769;80.9550227822779;6.9;1.3;Lentil;2001;2002;357.0;Loam;;Typic Calciboroll (Judith series);;-109.57;47.03
079 Late;;4305.984787530769;80.9550227822779;6.9;0.85;Lentil;2002;2003;357.0;Loam;;Typic Calciboroll (Judith series);;-109.57;47.03
079 Late;;4305.984787530769;80.9550227822779;6.9;1.03;Lentil;2003;2004;357.0;Loam;;Typic Calciboroll (Judith series);;-109.57;47.03
Brewer Spring;;4305.984787530769;80.9550227822779;6.9;1.15;Lentil;2002;2002;357.0;Loam;;Typic Calciboroll (Judith series);;-109.57;47.03
Brewer Spring;;4305.984787530769;80.9550227822779;6.9;0.74;Lentil;2003;2003;357.0;Loam;;Typic Calciboroll (Judith series);;-109.57;47.03
Brewer Spring;;4305.984787530769;80.9550227822779;6.9;1.09;Lentil;2004;2004;357.0;Loam;;Typic Calciboroll (Judith series);;-109.57;47.03
Richlea Spring;;4305.984787530769;80.9550227822779;6.9;1.4;Lentil;2002;2002;357.0;Loam;;Typic Calciboroll (Judith series);;-109.57;47.03
Richlea Spring;;4305.984787530769;80.9550227822779;6.9;0.66;Lentil;2003;2003;357.0;Loam;;Typic Calciboroll (Judith series);;-109.57;47.03
Richlea Spring;;4305.984787530769;80.9550227822779;6.9;1.15;Lentil;2004;2004;357.0;Loam;;Typic Calciboroll (Judith series);;-109.57;47.03
706 Early;;4253.3469561572465;85.83711407108393;6.0;1.49;Garden pea;2001;2002;349.0;Silt;;Typic Haploboroll (Amsterdam series);;-111.26;45.44
706 Early;;4253.3469561572465;85.83711407108393;6.0;1.61;Garden pea;2002;2003;349.0;Silt;;Typic Haploboroll (Amsterdam series);;-111.26;45.44
726 Early;;4253.3469561572465;85.83711407108393;6.0;1.6;Garden pea;2001;2002;349.0;Silt;;Typic Haploboroll (Amsterdam series);;-111.26;45.44
726 Early;;4253.3469561572465;85.83711407108393;6.0;1.86;Garden pea;2002;2003;349.0;Silt;;Typic Haploboroll (Amsterdam series);;-111.26;45.44
706 Late;;4253.3469561572465;85.83711407108393;6.0;1.55;Garden pea;2001;2002;349.0;Silt;;Typic Haploboroll (Amsterdam series);;-111.26;45.44
706 Late;;4253.3469561572465;85.83711407108393;6.0;1.12;Garden pea;2002;2003;349.0;Silt;;Typic Haploboroll (Amsterdam series);;-111.26;45.44
726 Late;;4253.3469561572465;85.83711407108393;6.0;1.7;Garden pea;2001;2002;349.0;Silt;;Typic Haploboroll (Amsterdam series);;-111.26;45.44
726 Late;;4253.3469561572465;85.83711407108393;6.0;0.56;Garden pea;2002;2003;349.0;Silt;;Typic Haploboroll (Amsterdam series);;-111.26;45.44
Mozart Spring;;4253.3469561572465;85.83711407108393;6.0;2.18;Garden pea;2002;2002;349.0;Silt;;Typic Haploboroll (Amsterdam series);;-111.26;45.44
Mozart Spring;;4253.3469561572465;85.83711407108393;6.0;1.94;Garden pea;2003;2003;349.0;Silt;;Typic Haploboroll (Amsterdam series);;-111.26;45.44
Delta Spring;;4253.3469561572465;85.83711407108393;6.0;2.03;Garden pea;2002;2002;349.0;Silt;;Typic Haploboroll (Amsterdam series);;-111.26;45.44
Delta Spring;;4253.3469561572465;85.83711407108393;6.0;2.23;Garden pea;2003;2003;349.0;Silt;;Typic Haploboroll (Amsterdam series);;-111.26;45.44
Monton Early;;4253.3469561572465;85.83711407108393;6.0;0.85;Lentil;2001;2002;349.0;Silt;;Typic Haploboroll (Amsterdam series);;-111.26;45.44
Monton Early;;4253.3469561572465;85.83711407108393;6.0;1.44;Lentil;2002;2003;349.0;Silt;;Typic Haploboroll (Amsterdam series);;-111.26;45.44
079 Early;;4253.3469561572465;85.83711407108393;6.0;0.98;Lentil;2001;2002;349.0;Silt;;Typic Haploboroll (Amsterdam series);;-111.26;45.44
079 Early;;4253.3469561572465;85.83711407108393;6.0;1.42;Lentil;2002;2003;349.0;Silt;;Typic Haploboroll (Amsterdam series);;-111.26;45.44
Monton Late;;4253.3469561572465;85.83711407108393;6.0;0.92;Lentil;2001;2002;349.0;Silt;;Typic Haploboroll (Amsterdam series);;-111.26;45.44
Monton Late;;4253.3469561572465;85.83711407108393;6.0;0.58;Lentil;2002;2003;349.0;Silt;;Typic Haploboroll (Amsterdam series);;-111.26;45.44
079 Late;;4253.3469561572465;85.83711407108393;6.0;0.85;Lentil;2001;2002;349.0;Silt;;Typic Haploboroll (Amsterdam series);;-111.26;45.44
079 Late;;4253.3469561572465;85.83711407108393;6.0;0.37;Lentil;2002;2003;349.0;Silt;;Typic Haploboroll (Amsterdam series);;-111.26;45.44
Brewer Spring;;4253.3469561572465;85.83711407108393;6.0;1.14;Lentil;2002;2002;349.0;Silt;;Typic Haploboroll (Amsterdam series);;-111.26;45.44
Brewer Spring;;4253.3469561572465;85.83711407108393;6.0;1.63;Lentil;2003;2003;349.0;Silt;;Typic Haploboroll (Amsterdam series);;-111.26;45.44
Richlea Spring;;4253.3469561572465;85.83711407108393;6.0;1.38;Lentil;2002;2002;349.0;Silt;;Typic Haploboroll (Amsterdam series);;-111.26;45.44
Richlea Spring;;4253.3469561572465;85.83711407108393;6.0;1.58;Lentil;2003;2003;349.0;Silt;;Typic Haploboroll (Amsterdam series);;-111.26;45.44
706 Early;;4222.967988732739;86.37441084352261;7.528219159792042;4.06;Garden pea;2001;2002;441.0;Loam;;Pachic Ultic Haploxeroll (Palouse series);;-116.55;46.33
706 Early;;4222.967988732739;86.37441084352261;7.528219159792042;1.57;Garden pea;2002;2003;441.0;Loam;;Pachic Ultic Haploxeroll (Palouse series);;-116.55;46.33
726 Early;;4222.967988732739;86.37441084352261;7.528219159792042;3.49;Garden pea;2001;2002;441.0;Loam;;Pachic Ultic Haploxeroll (Palouse series);;-116.55;46.33
726 Early;;4222.967988732739;86.37441084352261;7.528219159792042;0.66;Garden pea;2002;2003;441.0;Loam;;Pachic Ultic Haploxeroll (Palouse series);;-116.55;46.33
706 Late;;4222.967988732739;86.37441084352261;7.528219159792042;3.93;Garden pea;2001;2002;441.0;Loam;;Pachic Ultic Haploxeroll (Palouse series);;-116.55;46.33
706 Late;;4222.967988732739;86.37441084352261;7.528219159792042;2.73;Garden pea;2002;2003;441.0;Loam;;Pachic Ultic Haploxeroll (Palouse series);;-116.55;46.33
726 Late;;4222.967988732739;86.37441084352261;7.528219159792042;2.99;Garden pea;2001;2002;441.0;Loam;;Pachic Ultic Haploxeroll (Palouse series);;-116.55;46.33
726 Late;;4222.967988732739;86.37441084352261;7.528219159792042;1.95;Garden pea;2002;2003;441.0;Loam;;Pachic Ultic Haploxeroll (Palouse series);;-116.55;46.33
Mozart Spring;;4222.967988732739;86.37441084352261;7.528219159792042;2.87;Garden pea;2002;2002;441.0;Loam;;Pachic Ultic Haploxeroll (Palouse series);;-116.55;46.33
Mozart Spring;;4222.967988732739;86.37441084352261;7.528219159792042;1.15;Garden pea;2003;2003;441.0;Loam;;Pachic Ultic Haploxeroll (Palouse series);;-116.55;46.33
Delta Spring;;4222.967988732739;86.37441084352261;7.528219159792042;2.21;Garden pea;2002;2002;441.0;Loam;;Pachic Ultic Haploxeroll (Palouse series);;-116.55;46.33
Delta Spring;;4222.967988732739;86.37441084352261;7.528219159792042;1.17;Garden pea;2003;2003;441.0;Loam;;Pachic Ultic Haploxeroll (Palouse series);;-116.55;46.33
Monton Early;;4222.967988732739;86.37441084352261;7.528219159792042;1.25;Lentil;2001;2002;441.0;Loam;;Pachic Ultic Haploxeroll (Palouse series);;-116.55;46.33
Monton Early;;4222.967988732739;86.37441084352261;7.528219159792042;1.45;Lentil;2002;2003;441.0;Loam;;Pachic Ultic Haploxeroll (Palouse series);;-116.55;46.33
079 Early;;4222.967988732739;86.37441084352261;7.528219159792042;1.12;Lentil;2001;2002;441.0;Loam;;Pachic Ultic Haploxeroll (Palouse series);;-116.55;46.33
079 Early;;4222.967988732739;86.37441084352261;7.528219159792042;1.28;Lentil;2002;2003;441.0;Loam;;Pachic Ultic Haploxeroll (Palouse series);;-116.55;46.33
Monton Late;;4222.967988732739;86.37441084352261;7.528219159792042;1.06;Lentil;2001;2002;441.0;Loam;;Pachic Ultic Haploxeroll (Palouse series);;-116.55;46.33
